ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-10-16T09:37:00.000000000Z,33,2,1771,378.680000000,378.680000000,378.680000000,378.680000000,77,COST
2020-10-16T09:40:00.000000000Z,33,2,1771,378.680000000,378.680000000,378.680000000,378.680000000,2,COST
2020-10-16T10:31:00.000000000Z,33,2,1771,378.680000000,378.680000000,378.680000000,378.680000000,1,COST
2020-10-16T10:42:00.000000000Z,33,2,1771,379.360000000,379.390000000,379.360000000,379.390000000,52,COST
2020-10-16T10:49:00.000000000Z,33,2,1771,378.680000000,378.680000000,378.680000000,378.680000000,21,COST
2020-10-16T10:52:00.000000000Z,33,2,1771,378.680000000,378.680000000,378.680000000,378.680000000,36,COST
2020-10-16T10:54:00.000000000Z,33,2,1771,378.680000000,378.680000000,378.680000000,378.680000000,24,COST
2020-10-16T10:57:00.000000000Z,33,2,1771,378.680000000,378.680000000,378.680000000,378.680000000,11,COST
2020-10-16T11:05:00.000000000Z,33,2,1771,379.200000000,379.200000000,379.200000000,379.200000000,100,COST
2020-10-16T11:26:00.000000000Z,33,2,1771,379.250000000,379.250000000,379.250000000,379.250000000,1,COST
2020-10-16T11:34:00.000000000Z,33,2,1771,379.390000000,379.390000000,379.390000000,379.390000000,99,COST
2020-10-16T11:38:00.000000000Z,33,2,1771,379.390000000,379.390000000,379.390000000,379.390000000,163,COST
2020-10-16T11:42:00.000000000Z,33,2,1771,379.710000000,379.710000000,379.710000000,379.710000000,5,COST
2020-10-16T11:55:00.000000000Z,33,2,1771,380.180000000,380.180000000,380.180000000,380.180000000,1,COST
2020-10-16T11:59:00.000000000Z,33,2,1771,380.920000000,380.920000000,380.920000000,380.920000000,1,COST
2020-10-16T12:00:00.000000000Z,33,2,1771,380.590000000,380.590000000,380.590000000,380.590000000,99,COST
2020-10-16T12:01:00.000000000Z,33,2,1771,380.590000000,380.590000000,380.590000000,380.590000000,1,COST
2020-10-16T12:02:00.000000000Z,33,2,1771,380.050000000,380.050000000,380.050000000,380.050000000,5,COST
2020-10-16T12:04:00.000000000Z,33,2,1771,380.050000000,380.050000000,380.050000000,380.050000000,4,COST
2020-10-16T12:12:00.000000000Z,33,2,1771,380.630000000,380.630000000,380.630000000,380.630000000,23,COST
2020-10-16T12:13:00.000000000Z,33,2,1771,380.920000000,380.920000000,380.920000000,380.920000000,9,COST
2020-10-16T12:15:00.000000000Z,33,2,1771,381.010000000,381.010000000,381.010000000,381.010000000,68,COST
2020-10-16T12:25:00.000000000Z,33,2,1771,381.000000000,381.000000000,380.250000000,380.250000000,200,COST
2020-10-16T12:26:00.000000000Z,33,2,1771,381.300000000,381.300000000,381.300000000,381.300000000,25,COST
