ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-11-20T09:47:00.000000000Z,33,2,2257,577.150000000,577.150000000,577.150000000,577.150000000,1,COST
2023-11-20T11:11:00.000000000Z,33,2,2257,577.180000000,577.180000000,577.180000000,577.180000000,1,COST
2023-11-20T12:14:00.000000000Z,33,2,2257,577.430000000,577.430000000,577.430000000,577.430000000,41,COST
2023-11-20T12:17:00.000000000Z,33,2,2257,577.430000000,577.430000000,577.430000000,577.430000000,42,COST
2023-11-20T12:29:00.000000000Z,33,2,2257,577.340000000,577.340000000,577.340000000,577.340000000,26,COST
2023-11-20T12:53:00.000000000Z,33,2,2257,577.060000000,577.060000000,577.050000000,577.050000000,20,COST
2023-11-20T13:13:00.000000000Z,33,2,2257,577.490000000,577.490000000,577.490000000,577.490000000,1,COST
2023-11-20T13:25:00.000000000Z,33,2,2257,577.370000000,577.370000000,577.370000000,577.370000000,2,COST
2023-11-20T13:37:00.000000000Z,33,2,2257,577.400000000,577.400000000,577.400000000,577.400000000,1,COST
2023-11-20T13:48:00.000000000Z,33,2,2257,578.000000000,578.000000000,578.000000000,578.000000000,5,COST
2023-11-20T14:09:00.000000000Z,33,2,2257,577.810000000,577.810000000,577.810000000,577.810000000,5,COST
2023-11-20T14:22:00.000000000Z,33,2,2257,577.750000000,577.750000000,577.750000000,577.750000000,3,COST
2023-11-20T14:24:00.000000000Z,33,2,2257,577.400000000,577.400000000,577.400000000,577.400000000,24,COST
2023-11-20T14:25:00.000000000Z,33,2,2257,577.400000000,577.400000000,577.400000000,577.400000000,75,COST
2023-11-20T14:27:00.000000000Z,33,2,2257,577.000000000,577.000000000,576.510000000,576.830000000,66,COST
2023-11-20T14:30:00.000000000Z,33,2,2257,576.740000000,578.900000000,576.740000000,578.900000000,25881,COST
2023-11-20T14:31:00.000000000Z,33,2,2257,578.880000000,579.900000000,578.880000000,579.300000000,2618,COST
2023-11-20T14:32:00.000000000Z,33,2,2257,579.500000000,580.160000000,579.420000000,580.100000000,1479,COST
2023-11-20T14:33:00.000000000Z,33,2,2257,580.110000000,581.220000000,580.000000000,580.880000000,2169,COST
2023-11-20T14:34:00.000000000Z,33,2,2257,580.740000000,580.910000000,580.250000000,580.910000000,1780,COST
2023-11-20T14:35:00.000000000Z,33,2,2257,580.680000000,581.440000000,580.680000000,581.125000000,2348,COST
2023-11-20T14:36:00.000000000Z,33,2,2257,581.300000000,581.490000000,581.080000000,581.090000000,2704,COST
2023-11-20T14:37:00.000000000Z,33,2,2257,581.100000000,581.300000000,581.000000000,581.300000000,309,COST
2023-11-20T14:38:00.000000000Z,33,2,2257,581.160000000,581.500000000,579.890000000,579.890000000,3317,COST
2023-11-20T14:39:00.000000000Z,33,2,2257,580.250000000,580.250000000,579.770000000,579.950000000,310,COST
2023-11-20T14:40:00.000000000Z,33,2,2257,580.300000000,581.160000000,580.190000000,580.960000000,3165,COST
2023-11-20T14:41:00.000000000Z,33,2,2257,580.970000000,581.090000000,580.570000000,580.700000000,1418,COST
2023-11-20T14:42:00.000000000Z,33,2,2257,580.590000000,580.590000000,579.920000000,580.380000000,1264,COST
2023-11-20T14:43:00.000000000Z,33,2,2257,580.010000000,580.010000000,580.010000000,580.010000000,1,COST
2023-11-20T14:44:00.000000000Z,33,2,2257,580.020000000,580.050000000,579.380000000,579.380000000,1530,COST
2023-11-20T14:45:00.000000000Z,33,2,2257,579.330000000,579.330000000,579.000000000,579.000000000,531,COST
2023-11-20T14:46:00.000000000Z,33,2,2257,579.290000000,579.500000000,579.110000000,579.160000000,356,COST
2023-11-20T14:47:00.000000000Z,33,2,2257,579.270000000,579.600000000,579.130000000,579.130000000,567,COST
2023-11-20T14:48:00.000000000Z,33,2,2257,579.190000000,579.795000000,579.000000000,579.000000000,1055,COST
2023-11-20T14:49:00.000000000Z,33,2,2257,579.045000000,579.045000000,578.580000000,578.650000000,313,COST
2023-11-20T14:50:00.000000000Z,33,2,2257,578.850000000,578.860000000,578.500000000,578.500000000,2448,COST
2023-11-20T14:51:00.000000000Z,33,2,2257,578.575000000,578.575000000,578.080000000,578.080000000,518,COST
2023-11-20T14:52:00.000000000Z,33,2,2257,578.155000000,578.155000000,577.900000000,578.130000000,2323,COST
2023-11-20T14:53:00.000000000Z,33,2,2257,578.200000000,579.220000000,578.200000000,579.140000000,1300,COST
2023-11-20T14:54:00.000000000Z,33,2,2257,578.850000000,579.370000000,578.740000000,579.300000000,526,COST
2023-11-20T14:55:00.000000000Z,33,2,2257,579.450000000,579.560000000,579.240000000,579.360000000,770,COST
2023-11-20T14:56:00.000000000Z,33,2,2257,579.130000000,579.490000000,579.000000000,579.490000000,603,COST
2023-11-20T14:57:00.000000000Z,33,2,2257,579.380000000,579.720000000,579.380000000,579.650000000,125,COST
2023-11-20T14:58:00.000000000Z,33,2,2257,579.700000000,579.810000000,579.690000000,579.790000000,742,COST
2023-11-20T14:59:00.000000000Z,33,2,2257,579.680000000,579.760000000,579.430000000,579.580000000,1579,COST
2023-11-20T15:00:00.000000000Z,33,2,2257,579.540000000,580.010000000,579.430000000,579.780000000,829,COST
2023-11-20T15:01:00.000000000Z,33,2,2257,580.130000000,580.380000000,579.990000000,580.150000000,1443,COST
2023-11-20T15:02:00.000000000Z,33,2,2257,580.180000000,580.730000000,580.180000000,580.400000000,1337,COST
2023-11-20T15:03:00.000000000Z,33,2,2257,580.280000000,580.530000000,580.130000000,580.390000000,782,COST
2023-11-20T15:04:00.000000000Z,33,2,2257,580.520000000,580.760000000,580.430000000,580.430000000,1792,COST
2023-11-20T15:05:00.000000000Z,33,2,2257,580.520000000,580.830000000,580.480000000,580.550000000,826,COST
2023-11-20T15:06:00.000000000Z,33,2,2257,580.430000000,581.090000000,580.390000000,581.090000000,1422,COST
2023-11-20T15:07:00.000000000Z,33,2,2257,581.170000000,581.340000000,580.780000000,580.850000000,1580,COST
2023-11-20T15:08:00.000000000Z,33,2,2257,580.750000000,581.000000000,580.750000000,580.955000000,673,COST
2023-11-20T15:09:00.000000000Z,33,2,2257,581.040000000,581.100000000,580.880000000,581.000000000,760,COST
2023-11-20T15:10:00.000000000Z,33,2,2257,580.975000000,581.100000000,580.780000000,580.935000000,773,COST
2023-11-20T15:11:00.000000000Z,33,2,2257,580.840000000,580.840000000,580.240000000,580.240000000,1640,COST
2023-11-20T15:12:00.000000000Z,33,2,2257,580.260000000,580.360000000,580.040000000,580.360000000,407,COST
2023-11-20T15:13:00.000000000Z,33,2,2257,580.430000000,580.460000000,580.340000000,580.460000000,53,COST
2023-11-20T15:14:00.000000000Z,33,2,2257,580.280000000,580.280000000,579.950000000,579.950000000,835,COST
2023-11-20T15:15:00.000000000Z,33,2,2257,580.010000000,580.010000000,579.650000000,579.680000000,503,COST
2023-11-20T15:16:00.000000000Z,33,2,2257,579.780000000,579.780000000,579.410000000,579.450000000,243,COST
2023-11-20T15:17:00.000000000Z,33,2,2257,579.480000000,579.540000000,579.350000000,579.500000000,90,COST
2023-11-20T15:18:00.000000000Z,33,2,2257,579.410000000,579.510000000,579.350000000,579.510000000,358,COST
2023-11-20T15:19:00.000000000Z,33,2,2257,579.350000000,579.350000000,578.900000000,578.960000000,1235,COST
2023-11-20T15:20:00.000000000Z,33,2,2257,578.840000000,579.050000000,578.750000000,578.950000000,1297,COST
2023-11-20T15:21:00.000000000Z,33,2,2257,578.880000000,578.880000000,578.650000000,578.650000000,220,COST
2023-11-20T15:22:00.000000000Z,33,2,2257,578.760000000,578.840000000,578.500000000,578.750000000,911,COST
2023-11-20T15:23:00.000000000Z,33,2,2257,578.770000000,578.770000000,578.320000000,578.320000000,1191,COST
2023-11-20T15:24:00.000000000Z,33,2,2257,578.320000000,578.810000000,578.240000000,578.720000000,1315,COST
2023-11-20T15:25:00.000000000Z,33,2,2257,578.790000000,578.930000000,578.700000000,578.930000000,628,COST
2023-11-20T15:26:00.000000000Z,33,2,2257,578.710000000,578.940000000,578.700000000,578.940000000,215,COST
2023-11-20T15:27:00.000000000Z,33,2,2257,578.860000000,578.860000000,578.760000000,578.840000000,180,COST
2023-11-20T15:28:00.000000000Z,33,2,2257,578.710000000,579.000000000,578.710000000,579.000000000,922,COST
2023-11-20T15:29:00.000000000Z,33,2,2257,578.960000000,578.960000000,578.860000000,578.910000000,190,COST
2023-11-20T15:30:00.000000000Z,33,2,2257,578.980000000,578.980000000,578.720000000,578.720000000,803,COST
2023-11-20T15:31:00.000000000Z,33,2,2257,578.690000000,579.040000000,578.600000000,579.040000000,1141,COST
2023-11-20T15:32:00.000000000Z,33,2,2257,579.020000000,579.210000000,578.870000000,578.870000000,1158,COST
2023-11-20T15:33:00.000000000Z,33,2,2257,579.000000000,579.000000000,578.480000000,578.620000000,817,COST
2023-11-20T15:34:00.000000000Z,33,2,2257,578.610000000,578.710000000,578.460000000,578.540000000,200,COST
2023-11-20T15:35:00.000000000Z,33,2,2257,578.560000000,578.830000000,578.550000000,578.830000000,468,COST
2023-11-20T15:36:00.000000000Z,33,2,2257,578.830000000,578.830000000,578.670000000,578.710000000,265,COST
2023-11-20T15:37:00.000000000Z,33,2,2257,578.710000000,578.950000000,578.640000000,578.950000000,380,COST
2023-11-20T15:38:00.000000000Z,33,2,2257,578.930000000,579.220000000,578.930000000,579.220000000,1493,COST
2023-11-20T15:39:00.000000000Z,33,2,2257,579.120000000,579.250000000,579.020000000,579.180000000,1006,COST
2023-11-20T15:40:00.000000000Z,33,2,2257,579.090000000,579.160000000,578.950000000,578.950000000,930,COST
2023-11-20T15:41:00.000000000Z,33,2,2257,579.190000000,579.190000000,579.190000000,579.190000000,100,COST
2023-11-20T15:42:00.000000000Z,33,2,2257,579.120000000,579.450000000,579.120000000,579.370000000,1268,COST
2023-11-20T15:43:00.000000000Z,33,2,2257,579.390000000,579.430000000,579.170000000,579.430000000,358,COST
2023-11-20T15:44:00.000000000Z,33,2,2257,579.400000000,579.540000000,579.355000000,579.520000000,272,COST
2023-11-20T15:45:00.000000000Z,33,2,2257,579.540000000,579.550000000,579.290000000,579.320000000,599,COST
2023-11-20T15:46:00.000000000Z,33,2,2257,579.390000000,579.500000000,579.340000000,579.420000000,45,COST
