ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-17T09:41:00.000000000Z,33,2,3572,921.560000000,921.560000000,921.250000000,921.250000000,10,COST
2025-11-17T09:46:00.000000000Z,33,2,3572,921.620000000,921.620000000,921.620000000,921.620000000,1,COST
2025-11-17T09:48:00.000000000Z,33,2,3572,921.620000000,921.620000000,921.250000000,921.290000000,4,COST
2025-11-17T10:02:00.000000000Z,33,2,3572,921.290000000,921.290000000,921.290000000,921.290000000,2,COST
2025-11-17T10:08:00.000000000Z,33,2,3572,921.570000000,921.570000000,921.570000000,921.570000000,1,COST
2025-11-17T10:10:00.000000000Z,33,2,3572,921.370000000,921.370000000,921.370000000,921.370000000,3,COST
2025-11-17T10:19:00.000000000Z,33,2,3572,921.290000000,921.290000000,921.290000000,921.290000000,2,COST
2025-11-17T10:29:00.000000000Z,33,2,3572,921.760000000,921.760000000,921.760000000,921.760000000,5,COST
2025-11-17T10:30:00.000000000Z,33,2,3572,921.290000000,921.290000000,921.250000000,921.250000000,3,COST
2025-11-17T10:33:00.000000000Z,33,2,3572,921.340000000,921.340000000,921.250000000,921.250000000,3,COST
2025-11-17T10:48:00.000000000Z,33,2,3572,921.330000000,921.330000000,921.250000000,921.250000000,20,COST
2025-11-17T11:05:00.000000000Z,33,2,3572,921.250000000,921.250000000,921.250000000,921.250000000,1,COST
2025-11-17T11:30:00.000000000Z,33,2,3572,921.200000000,921.200000000,921.200000000,921.200000000,1,COST
2025-11-17T11:39:00.000000000Z,33,2,3572,920.640000000,920.640000000,920.640000000,920.640000000,3,COST
2025-11-17T11:45:00.000000000Z,33,2,3572,920.650000000,920.650000000,920.030000000,920.640000000,4,COST
2025-11-17T11:53:00.000000000Z,33,2,3572,921.030000000,921.030000000,921.030000000,921.030000000,4,COST
2025-11-17T11:58:00.000000000Z,33,2,3572,920.610000000,920.610000000,920.610000000,920.610000000,1,COST
2025-11-17T12:00:00.000000000Z,33,2,3572,920.570000000,920.570000000,920.270000000,920.290000000,12,COST
2025-11-17T12:02:00.000000000Z,33,2,3572,920.580000000,920.580000000,920.280000000,920.280000000,4,COST
2025-11-17T12:03:00.000000000Z,33,2,3572,920.350000000,920.350000000,920.350000000,920.350000000,1,COST
2025-11-17T12:04:00.000000000Z,33,2,3572,920.260000000,920.260000000,920.260000000,920.260000000,3,COST
2025-11-17T12:07:00.000000000Z,33,2,3572,920.300000000,920.300000000,920.300000000,920.300000000,1,COST
2025-11-17T12:17:00.000000000Z,33,2,3572,921.140000000,921.140000000,921.140000000,921.140000000,5,COST
2025-11-17T12:19:00.000000000Z,33,2,3572,921.230000000,921.250000000,921.230000000,921.250000000,11,COST
2025-11-17T12:20:00.000000000Z,33,2,3572,921.970000000,921.970000000,921.970000000,921.970000000,3,COST
2025-11-17T12:25:00.000000000Z,33,2,3572,922.000000000,922.000000000,922.000000000,922.000000000,2,COST
2025-11-17T12:27:00.000000000Z,33,2,3572,922.160000000,922.160000000,922.160000000,922.160000000,1,COST
2025-11-17T12:28:00.000000000Z,33,2,3572,922.160000000,922.160000000,922.160000000,922.160000000,3,COST
2025-11-17T12:29:00.000000000Z,33,2,3572,921.220000000,921.220000000,921.220000000,921.220000000,1,COST
2025-11-17T12:30:00.000000000Z,33,2,3572,921.200000000,921.200000000,920.590000000,920.590000000,3,COST
2025-11-17T12:32:00.000000000Z,33,2,3572,921.600000000,921.600000000,921.600000000,921.600000000,1,COST
2025-11-17T12:38:00.000000000Z,33,2,3572,921.930000000,921.930000000,921.930000000,921.930000000,2,COST
2025-11-17T12:49:00.000000000Z,33,2,3572,922.040000000,922.040000000,922.040000000,922.040000000,5,COST
2025-11-17T12:54:00.000000000Z,33,2,3572,922.730000000,922.730000000,922.730000000,922.730000000,1,COST
2025-11-17T13:00:00.000000000Z,33,2,3572,921.500000000,921.500000000,921.500000000,921.500000000,2,COST
