ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-03-13T09:30:00.000000000Z,33,2,4574,90.830000000,90.850000000,90.830000000,90.850000000,92,GOOGL
2023-03-13T09:31:00.000000000Z,33,2,4574,90.960000000,91.020000000,90.850000000,90.850000000,102,GOOGL
2023-03-13T09:32:00.000000000Z,33,2,4574,90.830000000,90.830000000,90.700000000,90.700000000,45,GOOGL
2023-03-13T09:33:00.000000000Z,33,2,4574,90.640000000,91.040000000,90.640000000,90.780000000,931,GOOGL
2023-03-13T09:34:00.000000000Z,33,2,4574,90.820000000,90.960000000,90.670000000,90.960000000,1014,GOOGL
2023-03-13T09:35:00.000000000Z,33,2,4574,90.840000000,91.020000000,90.810000000,90.810000000,483,GOOGL
2023-03-13T09:36:00.000000000Z,33,2,4574,90.910000000,90.970000000,90.910000000,90.970000000,933,GOOGL
2023-03-13T09:37:00.000000000Z,33,2,4574,90.780000000,91.100000000,90.780000000,91.100000000,409,GOOGL
2023-03-13T09:38:00.000000000Z,33,2,4574,90.810000000,90.840000000,90.810000000,90.840000000,1418,GOOGL
2023-03-13T09:39:00.000000000Z,33,2,4574,90.780000000,91.290000000,90.780000000,91.290000000,1436,GOOGL
2023-03-13T09:40:00.000000000Z,33,2,4574,90.940000000,91.290000000,90.860000000,90.960000000,909,GOOGL
2023-03-13T09:41:00.000000000Z,33,2,4574,90.970000000,91.040000000,90.930000000,91.020000000,704,GOOGL
2023-03-13T09:42:00.000000000Z,33,2,4574,91.020000000,91.080000000,90.960000000,91.020000000,3158,GOOGL
2023-03-13T09:43:00.000000000Z,33,2,4574,91.020000000,91.060000000,90.950000000,90.950000000,320,GOOGL
2023-03-13T09:44:00.000000000Z,33,2,4574,91.030000000,91.320000000,91.030000000,91.290000000,865,GOOGL
2023-03-13T09:45:00.000000000Z,33,2,4574,91.280000000,91.490000000,91.240000000,91.270000000,904,GOOGL
2023-03-13T09:46:00.000000000Z,33,2,4574,91.110000000,91.390000000,91.110000000,91.110000000,381,GOOGL
2023-03-13T09:48:00.000000000Z,33,2,4574,91.260000000,91.350000000,91.150000000,91.150000000,300,GOOGL
2023-03-13T09:50:00.000000000Z,33,2,4574,91.320000000,91.320000000,91.170000000,91.280000000,136,GOOGL
2023-03-13T09:51:00.000000000Z,33,2,4574,91.280000000,91.280000000,91.170000000,91.180000000,342,GOOGL
2023-03-13T09:52:00.000000000Z,33,2,4574,91.180000000,91.180000000,91.170000000,91.180000000,63,GOOGL
2023-03-13T09:53:00.000000000Z,33,2,4574,91.180000000,91.180000000,91.170000000,91.170000000,203,GOOGL
2023-03-13T09:54:00.000000000Z,33,2,4574,91.160000000,91.170000000,91.160000000,91.170000000,602,GOOGL
2023-03-13T09:56:00.000000000Z,33,2,4574,91.170000000,91.170000000,91.170000000,91.170000000,5,GOOGL
2023-03-13T09:57:00.000000000Z,33,2,4574,91.110000000,91.130000000,91.110000000,91.130000000,68,GOOGL
2023-03-13T09:58:00.000000000Z,33,2,4574,91.110000000,91.120000000,91.110000000,91.120000000,40,GOOGL
2023-03-13T09:59:00.000000000Z,33,2,4574,91.100000000,91.110000000,91.080000000,91.110000000,23,GOOGL
2023-03-13T10:00:00.000000000Z,33,2,4574,91.110000000,91.250000000,91.110000000,91.250000000,361,GOOGL
2023-03-13T10:02:00.000000000Z,33,2,4574,91.250000000,91.250000000,91.250000000,91.250000000,118,GOOGL
2023-03-13T10:03:00.000000000Z,33,2,4574,91.250000000,91.330000000,91.250000000,91.330000000,401,GOOGL
2023-03-13T10:04:00.000000000Z,33,2,4574,91.260000000,91.330000000,91.260000000,91.330000000,244,GOOGL
2023-03-13T10:05:00.000000000Z,33,2,4574,91.330000000,91.340000000,91.330000000,91.340000000,100,GOOGL
2023-03-13T10:06:00.000000000Z,33,2,4574,91.320000000,91.320000000,91.320000000,91.320000000,100,GOOGL
2023-03-13T10:07:00.000000000Z,33,2,4574,91.320000000,91.320000000,91.320000000,91.320000000,38,GOOGL
2023-03-13T10:08:00.000000000Z,33,2,4574,91.210000000,91.210000000,91.190000000,91.210000000,732,GOOGL
2023-03-13T10:09:00.000000000Z,33,2,4574,91.210000000,91.250000000,91.210000000,91.240000000,41,GOOGL
2023-03-13T10:10:00.000000000Z,33,2,4574,91.240000000,91.240000000,91.170000000,91.170000000,28,GOOGL
2023-03-13T10:13:00.000000000Z,33,2,4574,91.240000000,91.240000000,91.240000000,91.240000000,11,GOOGL
2023-03-13T10:14:00.000000000Z,33,2,4574,91.190000000,91.200000000,91.130000000,91.130000000,76,GOOGL
2023-03-13T10:15:00.000000000Z,33,2,4574,91.170000000,91.170000000,91.130000000,91.130000000,7,GOOGL
2023-03-13T10:16:00.000000000Z,33,2,4574,91.100000000,91.100000000,91.060000000,91.060000000,31,GOOGL
2023-03-13T10:17:00.000000000Z,33,2,4574,91.050000000,91.050000000,91.030000000,91.030000000,37,GOOGL
2023-03-13T10:18:00.000000000Z,33,2,4574,91.010000000,91.010000000,91.000000000,91.000000000,710,GOOGL
2023-03-13T10:19:00.000000000Z,33,2,4574,91.000000000,91.000000000,90.910000000,91.000000000,132,GOOGL
2023-03-13T10:20:00.000000000Z,33,2,4574,91.100000000,91.130000000,91.100000000,91.130000000,341,GOOGL
